Method,Architecture,Params (M),Train Time (min),Avg Inf (ms/img),mIoU (Overall),Dice (Overall)
Method A — From Scratch,CLIP-UNet + FiLM,183.3,181.2,22.5,0.5027,0.6451
Method B — Fine-tuned,CLIPSeg (decoder only),150.7,71.0,37.8,0.4543,0.6032
